,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU00646,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Holophaga,NA
OTU00647,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,NA,NA
OTU00648,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,NA
OTU00649,Bacteria,WS1,NA,NA,NA,NA,NA
OTU00650,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,NA,NA
OTU00651,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Poseidonibacter,NA
OTU00652,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU00653,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,macrobrachii
OTU00654,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,NA,NA
OTU00655,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA
OTU00656,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
OTU00657,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA
OTU00658,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides,hydrogenigenes
OTU00659,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,Elstera,NA
OTU00660,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,NA
OTU00661,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,NA
OTU00662,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Diaminobutyricimonas,NA
OTU00663,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,Formivibrio,NA
OTU00664,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,NA
OTU00665,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae NK3B31 group,NA
OTU00666,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,gandavensis
OTU00667,Bacteria,Spirochaetota,V2072-189E03,NA,NA,NA,NA
OTU00668,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
OTU00669,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,NA
OTU00670,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS 17,NA,NA
OTU00671,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,NA
OTU00672,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU00673,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Empedobacter,NA
OTU00674,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,NA,NA,NA
OTU00675,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,WCHB1-32,NA
OTU00676,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
OTU00677,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,parva
OTU00678,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00679,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,caeni
OTU00680,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella,NA
OTU00681,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,NA,NA
OTU00682,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Plasticicumulans,NA
OTU00683,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
OTU00684,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA,NA
OTU00685,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,NA,NA,NA
OTU00686,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,NA
OTU00687,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA
OTU00688,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
OTU00689,Bacteria,NA,NA,NA,NA,NA,NA
OTU00690,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,TC1,NA,NA
OTU00691,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Zoogloea,NA
OTU00692,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,NA,NA,NA
OTU00693,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
OTU00694,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tepidimonas,NA
OTU00695,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,NA
OTU00696,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
OTU00697,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Microbacter,NA
OTU00698,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA
OTU00699,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
OTU00700,Bacteria,Firmicutes,NA,NA,NA,NA,NA
OTU00701,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA,NA
OTU00702,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA
OTU00703,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,NA
OTU00704,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,NA
OTU00705,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,NA
OTU00706,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,geothermalis
OTU00707,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
OTU00708,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus,NA
OTU00709,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
OTU00710,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
OTU00711,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,UBA1819,NA
OTU00712,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,NA
OTU00713,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Mitsuokella,multacida
OTU00714,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,NA
OTU00715,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,NA
OTU00716,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,NA
OTU00717,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA,NA
OTU00718,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00719,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
OTU00720,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK3A20 group,NA
OTU00721,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Fonticella,NA
OTU00722,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
OTU00723,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00724,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
OTU00725,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
OTU00726,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,NA
OTU00727,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,NA,NA
OTU00728,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
OTU00729,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,NA,NA
OTU00730,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,koreense
OTU00731,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,NA,NA
OTU00732,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00733,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00734,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,NA,NA
OTU00735,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00736,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,NA
OTU00737,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,NA
OTU00738,Bacteria,Patescibacteria,Gracilibacteria,Candidatus Peregrinibacteria,NA,NA,NA
OTU00739,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Tolumonas,NA
OTU00740,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU00741,Bacteria,Patescibacteria,ABY1,Candidatus Falkowbacteria,NA,NA,NA
OTU00742,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
OTU00743,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Bergeyella,NA
OTU00744,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,NA
OTU00745,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,NA
OTU00746,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,NA,NA
OTU00747,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
OTU00748,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,NA
OTU00749,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Megasphaera,micronuciformis
OTU00750,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00751,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA,NA
OTU00752,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,NA,NA
OTU00753,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,NA,NA
OTU00754,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,NA
OTU00755,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,NA
OTU00756,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,NA
OTU00757,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,NA
OTU00758,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,uda
OTU00759,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,NA,NA
OTU00760,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succinispira,mobilis
OTU00761,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00762,Bacteria,NA,NA,NA,NA,NA,NA
OTU00763,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
OTU00764,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
OTU00765,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,NA,NA,NA
OTU00766,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermobacteriaceae,Methanothermobacter,NA
OTU00767,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,paravirosa
OTU00768,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA,NA
OTU00769,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Pectinatus,NA
OTU00770,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
OTU00771,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,NA
OTU00772,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Beggiatoa,NA
OTU00773,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00774,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 10,NA
OTU00775,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,NA,NA
OTU00776,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,NA
OTU00777,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,NA
OTU00778,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,NA
OTU00779,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00780,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
OTU00781,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,mongoliense
OTU00782,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,NA
OTU00783,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
OTU00784,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,NA
OTU00785,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Allisonella,histaminiformans
OTU00786,Bacteria,Firmicutes,Clostridia,Oscillospirales,[Eubacterium] coprostanoligenes group,NA,NA
OTU00787,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,NA
OTU00788,Bacteria,Patescibacteria,ABY1,Candidatus Falkowbacteria,NA,NA,NA
OTU00789,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,NA
OTU00790,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,NA
OTU00791,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,NA,NA
OTU00792,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,xinjiangensis
OTU00793,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,splanchnicus
OTU00794,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,NA
OTU00795,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
OTU00796,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Knoellia,NA
OTU00797,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,NA
OTU00798,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,NA
OTU00799,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
OTU00800,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,NA,NA
OTU00801,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Niveibacterium,NA
OTU00802,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,T34,NA,NA
OTU00803,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,NA
OTU00804,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,NA
OTU00805,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,NA
OTU00806,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Mogibacterium,NA
OTU00807,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,Demequina,NA
OTU00808,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Megamonas,NA
OTU00809,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,NA,NA
OTU00810,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides,NA
OTU00811,Bacteria,NA,NA,NA,NA,NA,NA
OTU00812,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA
OTU00813,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,finegoldii
OTU00814,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA,NA
OTU00815,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
OTU00816,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,NA,NA,NA
OTU00817,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00818,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Cloacibacterium,NA
OTU00819,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Vulcaniibacterium,NA
OTU00820,Bacteria,Firmicutes,NA,NA,NA,NA,NA
OTU00821,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,flavum
OTU00822,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio,NA
OTU00823,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Slackia,piriformis
OTU00824,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00825,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
OTU00826,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Coriobacteriales Incertae Sedis,NA,NA
OTU00827,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
OTU00828,Bacteria,Firmicutes,D8A-2,NA,NA,NA,NA
OTU00829,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
OTU00830,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,NA
OTU00831,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,NA,NA
OTU00832,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-003,NA
OTU00833,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,NA,NA,NA
OTU00834,Bacteria,NA,NA,NA,NA,NA,NA
OTU00835,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Acidaminobacteraceae,Acidaminobacter,NA
OTU00836,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,NA,NA,NA
OTU00837,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,NA,NA
OTU00838,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Fretibacterium,NA
OTU00839,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,NA
OTU00840,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Bact-08,NA
OTU00841,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
OTU00842,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,NA,NA
OTU00843,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,U29-B03,NA
OTU00844,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00845,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,NA,NA
OTU00846,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,NA
OTU00847,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00848,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,NA,NA,NA
OTU00849,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA
OTU00850,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,NA,NA
OTU00851,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,NA
OTU00852,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9,NA
OTU00853,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
OTU00854,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU00855,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-004,NA
OTU00856,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA,NA
OTU00857,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA,NA
OTU00858,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,NA
OTU00859,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium] nodatum group,NA
OTU00860,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00861,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU00862,Bacteria,NA,NA,NA,NA,NA,NA
OTU00863,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00864,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-009,NA
OTU00865,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,caccae
OTU00866,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,NA,NA,NA
OTU00867,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfuricurvum,NA
OTU00868,Bacteria,Patescibacteria,Berkelbacteria,NA,NA,NA,NA
OTU00869,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,JGI-0000079-D21,NA
OTU00870,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU00871,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU00872,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,NA,NA
OTU00873,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Thiopseudomonas,NA
OTU00874,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
OTU00875,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
OTU00876,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,NA
OTU00877,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Propionispira,NA
OTU00878,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA
OTU00879,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00880,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,NA
OTU00881,Bacteria,Verrucomicrobiota,Kiritimatiellae,WCHB1-41,NA,NA,NA
OTU00882,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] ventriosum group,NA
OTU00883,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NA
OTU00884,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,NA,NA
OTU00885,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,NA
OTU00886,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,NA,NA,NA
OTU00887,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
OTU00888,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,NA
OTU00889,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
OTU00890,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,NA
OTU00891,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Synergistes,NA
OTU00892,Bacteria,Armatimonadota,NA,NA,NA,NA,NA
OTU00893,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,NA
OTU00894,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
OTU00895,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,NA,NA
OTU00896,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA
OTU00897,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU00898,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
OTU00899,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,jiangsuensis
OTU00900,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,NA,NA,NA
OTU00901,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,NA,NA
